index,_id,ID,x,y,group,status,time
5241784,60cd08d81176d15ea268e78e,0000021800000218,4656,305,2,0,2021/06/18 22:57:33:496
5241844,60cd08da1176d15ea268e7ca,0000021800000218,4657,305,2,0,2021/06/18 22:57:34:648
5241900,60cd08dc1176d15ea268e802,0000021800000218,4658,306,2,0,2021/06/18 22:57:35:833
5241904,60cd08dc1176d15ea268e806,0000021800000218,4659,305,2,0,2021/06/18 22:57:36:972
5241926,60cd08de1176d15ea268e81c,0000021800000218,4661,302,2,0,2021/06/18 22:57:38:159
5241972,60cd08e01176d15ea268e84a,0000021800000218,4662,301,2,0,2021/06/18 22:57:41:638
5242018,60cd08e11176d15ea268e878,0000021800000218,4662,299,2,0,2021/06/18 22:57:42:777
5242104,60cd08e31176d15ea268e8ce,0000021800000218,4664,298,2,0,2021/06/18 22:57:45:082
5242156,60cd08e41176d15ea268e902,0000021800000218,4665,298,2,0,2021/06/18 22:57:46:237
5242161,60cd08e51176d15ea268e907,0000021400000214,6027,1281,2,4,2021/06/18 22:47:44:490
5242198,60cd08e61176d15ea268e92c,0000021800000218,4665,296,2,0,2021/06/18 22:57:47:435
5242232,60cd08e71176d15ea268e94e,0000021800000218,4664,298,2,0,2021/06/18 22:57:49:722
5242260,60cd08e81176d15ea268e96a,0000021800000218,4665,295,2,0,2021/06/18 22:57:50:909
5242284,60cd08e91176d15ea268e982,0000021800000218,4655,300,2,0,2021/06/18 22:57:52:033
5242338,60cd08eb1176d15ea268e9b8,0000021800000218,4659,288,2,0,2021/06/18 22:57:54:256
5242362,60cd08ed1176d15ea268e9d0,0000021800000218,4660,288,2,0,2021/06/18 22:57:54:382
5242394,60cd08ee1176d15ea268e9f0,0000021800000218,4657,305,2,0,2021/06/18 22:57:55:437
5242422,60cd08ef1176d15ea268ea0c,0000021800000218,4656,309,2,0,2021/06/18 22:57:55:560
5242454,60cd08f01176d15ea268ea2c,0000021800000218,4656,308,2,0,2021/06/18 22:57:56:686
5242538,60cd08f21176d15ea268ea80,0000021800000218,4659,304,2,0,2021/06/18 22:58:00:166
5242594,60cd08f41176d15ea268eab8,0000021800000218,4661,302,2,0,2021/06/18 22:58:02:498
5242638,60cd08f51176d15ea268eae4,0000021800000218,4663,292,2,0,2021/06/18 22:58:04:715
5242686,60cd08f61176d15ea268eb14,0000021800000218,4662,296,2,0,2021/06/18 22:58:04:840
5242766,60cd08f81176d15ea268eb64,0000021800000218,4664,288,2,0,2021/06/18 22:58:05:958
5242775,60cd08f81176d15ea268eb6d,0000021400000214,5939,1312,2,4,2021/06/18 22:48:44:799
5242812,60cd08f91176d15ea268eb92,0000021800000218,4664,291,2,0,2021/06/18 22:58:08:295
5242852,60cd08fb1176d15ea268ebba,0000021800000218,4664,294,2,0,2021/06/18 22:58:09:442
5242898,60cd08fc1176d15ea268ebe8,0000021800000218,4654,301,2,0,2021/06/18 22:58:11:721
5242944,60cd08fd1176d15ea268ec16,0000021800000218,4657,298,2,0,2021/06/18 22:58:12:934
5242986,60cd08fe1176d15ea268ec40,0000021800000218,4658,299,2,0,2021/06/18 22:58:14:081
5243024,60cd08ff1176d15ea268ec66,0000021800000218,4658,300,2,0,2021/06/18 22:58:15:232
5243066,60cd09001176d15ea268ec90,0000021800000218,4659,301,2,0,2021/06/18 22:58:16:423
5243072,60cd09001176d15ea268ec96,0000021800000218,4660,299,2,0,2021/06/18 22:58:17:567
5243112,60cd09011176d15ea268ecbe,0000021800000218,4662,298,2,0,2021/06/18 22:58:19:898
5243158,60cd09031176d15ea268ecec,0000021800000218,4662,298,2,0,2021/06/18 22:58:21:050
5243292,60cd09061176d15ea268ed72,0000021800000218,4665,297,2,0,2021/06/18 22:58:22:188
5243334,60cd09071176d15ea268ed9c,0000021800000218,4665,296,2,0,2021/06/18 22:58:23:335
5243366,60cd09081176d15ea268edbc,0000021800000218,4665,296,2,0,2021/06/18 22:58:24:510
5243388,60cd090a1176d15ea268edd2,0000021800000218,4666,302,2,0,2021/06/18 22:58:26:724
5243414,60cd090b1176d15ea268edec,0000021800000218,4665,301,2,0,2021/06/18 22:58:28:000
5243438,60cd090c1176d15ea268ee04,0000021800000218,4665,300,2,0,2021/06/18 22:58:29:142
5243498,60cd090e1176d15ea268ee40,0000021800000218,4656,304,2,0,2021/06/18 22:58:30:304
5243524,60cd090f1176d15ea268ee5a,0000021800000218,4663,297,2,0,2021/06/18 22:58:32:548
5243548,60cd09111176d15ea268ee72,0000021800000218,4655,302,2,0,2021/06/18 22:58:33:787
5243572,60cd09121176d15ea268ee8a,0000021800000218,4657,301,2,0,2021/06/18 22:58:34:955
5243624,60cd09131176d15ea268eebe,0000021800000218,4660,300,2,0,2021/06/18 22:58:36:117
5243670,60cd09141176d15ea268eeec,0000021800000218,4660,300,2,0,2021/06/18 22:58:37:289
5243722,60cd09151176d15ea268ef20,0000021800000218,4650,306,2,0,2021/06/18 22:58:38:396
5243764,60cd09161176d15ea268ef4a,0000021800000218,4640,311,2,0,2021/06/18 22:58:39:554
5243848,60cd09191176d15ea268ef9e,0000021800000218,4644,313,2,0,2021/06/18 22:58:40:671
5243886,60cd091a1176d15ea268efc4,0000021800000218,4647,318,2,0,2021/06/18 22:58:40:791
5243897,60cd091a1176d15ea268efcf,0000021400000214,5961,1347,2,4,2021/06/18 22:48:55:235
5243968,60cd091c1176d15ea268f016,0000021800000218,4649,314,2,0,2021/06/18 22:58:41:916
5244004,60cd091d1176d15ea268f03a,0000021800000218,4652,304,2,0,2021/06/18 22:58:43:070
5244010,60cd091d1176d15ea268f040,0000021800000218,4655,302,2,0,2021/06/18 22:58:46:530
5244044,60cd091e1176d15ea268f062,0000021800000218,4657,302,2,0,2021/06/18 22:58:47:736
5244122,60cd09211176d15ea268f0b0,0000021800000218,4659,300,2,0,2021/06/18 22:58:48:870
5244160,60cd09221176d15ea268f0d6,0000021800000218,4660,300,2,0,2021/06/18 22:58:50:034
5244200,60cd09231176d15ea268f0fe,0000021800000218,4651,304,2,0,2021/06/18 22:58:51:153
5244246,60cd09241176d15ea268f12c,0000021800000218,4653,304,2,0,2021/06/18 22:58:52:329
5244290,60cd09251176d15ea268f158,0000021800000218,4657,295,2,0,2021/06/18 22:58:54:565
5244338,60cd09271176d15ea268f188,0000021800000218,4658,297,2,0,2021/06/18 22:58:55:844
5244428,60cd09291176d15ea268f1e2,0000021800000218,4651,304,2,0,2021/06/18 22:58:56:903
5244476,60cd092a1176d15ea268f212,0000021800000218,4657,294,2,0,2021/06/18 22:58:58:046
5244518,60cd092b1176d15ea268f23c,0000021800000218,4658,294,2,0,2021/06/18 22:58:59:330
5244560,60cd092c1176d15ea268f266,0000021800000218,4649,301,2,0,2021/06/18 22:59:00:420
5244600,60cd092d1176d15ea268f28e,0000021800000218,4651,300,2,0,2021/06/18 22:59:01:624
5244615,60cd092e1176d15ea268f29d,0000021400000214,5978,1376,2,4,2021/06/18 22:49:20:761
5244646,60cd092f1176d15ea268f2bc,0000021800000218,4651,305,2,0,2021/06/18 22:59:02:747
5244690,60cd09301176d15ea268f2e8,0000021800000218,4653,304,2,0,2021/06/18 22:59:05:103
5244743,60cd09311176d15ea268f31d,0000021400000214,5973,1401,2,4,2021/06/18 22:51:09:774
5244822,60cd09331176d15ea268f36c,0000021800000218,4655,302,2,0,2021/06/18 22:59:06:230
5244864,60cd09341176d15ea268f396,0000021800000218,4656,303,2,0,2021/06/18 22:59:08:564
5244954,60cd09371176d15ea268f3f0,0000021800000218,4641,314,2,0,2021/06/18 22:59:09:617
5244996,60cd09381176d15ea268f41a,0000021800000218,4636,316,2,0,2021/06/18 22:59:09:716
5245042,60cd09391176d15ea268f448,0000021800000218,4640,313,2,0,2021/06/18 22:59:10:903
5245090,60cd093a1176d15ea268f478,0000021800000218,4646,309,2,0,2021/06/18 22:59:13:224
5245124,60cd093b1176d15ea268f49a,0000021800000218,4648,307,2,0,2021/06/18 22:59:14:375
5245130,60cd093c1176d15ea268f4a0,0000021800000218,4651,305,2,0,2021/06/18 22:59:15:513
5245166,60cd093d1176d15ea268f4c4,0000021800000218,4653,305,2,0,2021/06/18 22:59:16:734
5245206,60cd093e1176d15ea268f4ec,0000021800000218,4654,305,2,0,2021/06/18 22:59:17:849
5245217,60cd093e1176d15ea268f4f7,0000021400000214,6019,1338,2,4,2021/06/18 22:52:34:391
5245252,60cd093f1176d15ea268f51a,0000021800000218,4657,296,2,0,2021/06/18 22:59:18:974
5245292,60cd09401176d15ea268f542,0000021800000218,4659,289,2,0,2021/06/18 22:59:21:303
5245320,60cd09411176d15ea268f55e,0000021800000218,4660,289,2,0,2021/06/18 22:59:22:519
5245342,60cd09421176d15ea268f574,0000021800000218,4649,296,2,0,2021/06/18 22:59:23:627
5245370,60cd09441176d15ea268f590,0000021800000218,4654,288,2,0,2021/06/18 22:59:24:792
5245398,60cd09451176d15ea268f5ac,0000021800000218,4657,297,2,0,2021/06/18 22:59:25:884
5245422,60cd09461176d15ea268f5c4,0000021800000218,4648,301,2,0,2021/06/18 22:59:27:114
5245427,60cd09461176d15ea268f5c9,0000021400000214,6027,1371,2,4,2021/06/18 22:52:43:674
5245446,60cd09471176d15ea268f5dc,0000021800000218,4651,302,2,0,2021/06/18 22:59:28:283
5245470,60cd09481176d15ea268f5f4,0000021800000218,4652,303,2,0,2021/06/18 22:59:31:791
5245496,60cd09491176d15ea268f60e,0000021800000218,4655,295,2,0,2021/06/18 22:59:32:909
5245524,60cd094a1176d15ea268f62a,0000021800000218,4656,296,2,0,2021/06/18 22:59:35:274
5245568,60cd094c1176d15ea268f656,0000021800000218,4659,295,2,0,2021/06/18 22:59:36:410
5245614,60cd094d1176d15ea268f684,0000021800000218,4660,288,2,0,2021/06/18 22:59:37:543
5245656,60cd094e1176d15ea268f6ae,0000021800000218,4660,290,2,0,2021/06/18 22:59:38:725
5245704,60cd094f1176d15ea268f6de,0000021800000218,4662,286,2,0,2021/06/18 22:59:39:768
5245752,60cd09501176d15ea268f70e,0000021800000218,4663,292,2,0,2021/06/18 22:59:39:893
5245798,60cd09511176d15ea268f73c,0000021800000218,4664,290,2,0,2021/06/18 22:59:41:070
5245842,60cd09531176d15ea268f768,0000021800000218,4665,291,2,0,2021/06/18 22:59:42:188
5245888,60cd09541176d15ea268f796,0000021800000218,4667,282,2,0,2021/06/18 22:59:43:339
5245932,60cd09551176d15ea268f7c2,0000021800000218,4668,283,2,0,2021/06/18 22:59:44:508
5245974,60cd09561176d15ea268f7ec,0000021800000218,4668,277,2,0,2021/06/18 22:59:45:644
5246020,60cd09571176d15ea268f81a,0000021800000218,4668,279,2,0,2021/06/18 22:59:46:810
5246104,60cd095a1176d15ea268f86e,0000021800000218,4668,281,2,0,2021/06/18 22:59:48:000
5246150,60cd095b1176d15ea268f89c,0000021800000218,4665,285,2,0,2021/06/18 22:59:49:162
5246192,60cd095c1176d15ea268f8c6,0000021800000218,4667,285,2,0,2021/06/18 22:59:50:304
5246234,60cd095d1176d15ea268f8f0,0000021800000218,4665,289,2,0,2021/06/18 22:59:51:448
5246284,60cd095e1176d15ea268f922,0000021800000218,4665,291,2,0,2021/06/18 22:59:52:647
5246326,60cd095f1176d15ea268f94c,0000021800000218,4666,290,2,0,2021/06/18 22:59:53:778
5246364,60cd09601176d15ea268f972,0000021800000218,4665,291,2,0,2021/06/18 22:59:54:939
5246375,60cd09611176d15ea268f97d,0000021400000214,6014,1395,2,4,2021/06/18 22:54:23:475
5246408,60cd09621176d15ea268f99e,0000021800000218,4666,291,2,0,2021/06/18 22:59:56:147
5246448,60cd09631176d15ea268f9c6,0000021800000218,4666,297,2,0,2021/06/18 22:59:57:271
5246484,60cd09641176d15ea268f9ea,0000021800000218,4666,298,2,0,2021/06/18 22:59:58:417
5246562,60cd09661176d15ea268fa38,0000021800000218,4667,297,2,0,2021/06/18 22:59:59:589
5246602,60cd09671176d15ea268fa60,0000021800000218,4667,297,2,0,2021/06/18 23:00:00:755
5246690,60cd096a1176d15ea268fab8,0000021800000218,4667,296,2,0,2021/06/18 23:00:01:903
5246734,60cd096b1176d15ea268fae4,0000021800000218,4669,293,2,0,2021/06/18 23:00:03:074
5246776,60cd096c1176d15ea268fb0e,0000021800000218,4666,294,2,0,2021/06/18 23:00:04:214
5246854,60cd096e1176d15ea268fb5c,0000021800000218,4667,293,2,0,2021/06/18 23:00:05:387
5246890,60cd09701176d15ea268fb80,0000021800000218,4659,297,2,0,2021/06/18 23:00:06:500
5246928,60cd09711176d15ea268fba6,0000021800000218,4658,299,2,0,2021/06/18 23:00:07:735
5246970,60cd09721176d15ea268fbd0,0000021800000218,4659,298,2,0,2021/06/18 23:00:10:024
5247002,60cd09731176d15ea268fbf0,0000021800000218,4660,297,2,0,2021/06/18 23:00:11:211
5247030,60cd09741176d15ea268fc0c,0000021800000218,4659,298,2,0,2021/06/18 23:00:12:328
5247056,60cd09761176d15ea268fc26,0000021800000218,4660,298,2,0,2021/06/18 23:00:13:481
5247108,60cd09781176d15ea268fc5a,0000021800000218,4660,298,2,0,2021/06/18 23:00:14:665
5247128,60cd09791176d15ea268fc6e,0000021800000218,4663,297,2,0,2021/06/18 23:00:15:796
5247162,60cd097a1176d15ea268fc90,0000021800000218,4653,302,2,0,2021/06/18 23:00:16:929
5247218,60cd097c1176d15ea268fcc8,0000021800000218,4652,307,2,0,2021/06/18 23:00:18:136
5247264,60cd097d1176d15ea268fcf6,0000021800000218,4654,306,2,0,2021/06/18 23:00:19:309
5247392,60cd09811176d15ea268fd76,0000021800000218,4656,305,2,0,2021/06/18 23:00:20:442
5247436,60cd09821176d15ea268fda2,0000021800000218,4657,305,2,0,2021/06/18 23:00:22:783
5247472,60cd09831176d15ea268fdc6,0000021800000218,4659,303,2,0,2021/06/18 23:00:23:947
5247520,60cd09841176d15ea268fdf6,0000021800000218,4660,295,2,0,2021/06/18 23:00:26:230
5247566,60cd09861176d15ea268fe24,0000021800000218,4660,296,2,0,2021/06/18 23:00:27:414
5247606,60cd09871176d15ea268fe4c,0000021800000218,4662,295,2,0,2021/06/18 23:00:28:607
5247692,60cd09891176d15ea268fea2,0000021800000218,4663,293,2,0,2021/06/18 23:00:30:894
5247736,60cd098a1176d15ea268fece,0000021800000218,4664,292,2,0,2021/06/18 23:00:32:089
5247780,60cd098b1176d15ea268fefa,0000021800000218,4666,290,2,0,2021/06/18 23:00:33:212
5247822,60cd098d1176d15ea268ff24,0000021800000218,4666,291,2,0,2021/06/18 23:00:34:359
5247868,60cd098e1176d15ea268ff52,0000021800000218,4667,291,2,0,2021/06/18 23:00:35:533
5247906,60cd098f1176d15ea268ff78,0000021800000218,4656,297,2,0,2021/06/18 23:00:36:667
5247923,60cd098f1176d15ea268ff89,0000021400000214,6024,1418,2,4,2021/06/18 22:54:30:384
5247952,60cd09901176d15ea268ffa6,0000021800000218,4660,294,2,0,2021/06/18 23:00:37:843
